tag,PpIX_value,Ppp_value
0.0,10.000000008882973,-1.5932536209137615
10.0,10.291899384509321,-2.0295921476463255
20.0,8.465268452660082,-0.9611387091384118
30.0,8.0458117528569,-0.7060320707730127
40.0,8.050027108714023,-0.8533630731208597
50.0,6.841158233460767,-0.5396803539052386
60.0,6.2737875968327135,-0.6546460198464001
70.0,5.416738086172405,-0.46170027554258375
80.0,5.015246259427802,-0.2843820740435864
90.0,4.294417233156602,0.09353800750019613
100.0,2.8146633422386476,-0.1857913222126727
